UK	rsquare	a	b
1808	0.996	1.24	0.68
1814	0.996	1.21	0.70
1815	0.998	1.16	0.68
1817	0.995	1.22	0.68
1819	0.993	1.26	0.71
1827	0.996	1.10	0.71
1830	0.998	1.20	0.65
1837	0.996	1.25	0.67
1842	0.994	1.22	0.71
1853	0.995	1.21	0.68
1868	0.998	1.20	0.70
1877	0.996	1.17	0.70
1893	0.993	1.15	0.73
1895Liberal	0.998	1.17	0.69
1896Liberal	0.998	1.17	0.67
1897Liberal	0.998	1.17	0.66
1897Conservative	0.998	1.19	0.67
1899Liberal	0.998	1.16	0.67
1900Conservative	0.998	1.18	0.63
1901Liberal	0.998	1.18	0.66
1902Conservative	0.997	1.20	0.68
1903Conservative	0.998	1.19	0.68
1903Liberal	0.998	1.16	0.67
1904Conservative	0.997	1.21	0.66
1905Liberal	0.997	1.21	0.68
1906Conservative	0.997	1.19	0.69
1907	0.998	1.14	0.69
1907Conservative	0.998	1.21	0.67
1907Liberal	0.998	1.18	0.67
1908Liberal	0.998	1.17	0.66
1908Conservative	0.998	1.20	0.66
1909Liberal	0.998	1.17	0.67
1909Conservative	0.998	1.18	0.66
1910Liberal	0.998	1.17	0.68
1910Conservative	0.998	1.18	0.66
1911Conservative	0.998	1.17	0.65
1912Liberal	0.997	1.17	0.68
1912Conservative	0.999	1.15	0.64
1913Conservative	0.999	1.16	0.63
1913Liberal	0.997	1.18	0.69
1917	0.999	1.18	0.66
1918Liberal	0.998	1.20	0.68
1919Liberal	0.997	1.18	0.69
1920Liberal	0.997	1.18	0.69
1920Conservative	0.999	1.11	0.64
1921Liberal	0.998	1.18	0.68
1921Conservative	0.999	1.17	0.63
1922Liberal	0.997	1.19	0.69
1922Conservative	0.998	1.13	0.67
1923Liberal	0.996	1.20	0.70
1924Liberal	0.995	1.23	0.70
1924Labour	0.997	1.19	0.68
1924Conservative	0.998	1.16	0.66
1925Liberal	0.995	1.26	0.69
1925Conservative	0.997	1.20	0.67
1926Conservative	0.998	1.21	0.66
1927	0.999	1.16	0.65
1927Liberal	0.999	1.20	0.61
1927Conservative	0.998	1.18	0.64
1928Liberal	0.998	1.18	0.67
1928Conservative	0.998	1.18	0.65
1929Liberal	0.999	1.20	0.62
1929Conservative	0.998	1.20	0.63
1930Liberal	0.997	1.21	0.67
1932Conservative	0.998	1.17	0.67
1932Liberal	0.997	1.24	0.66
1933Conservative	0.999	1.17	0.65
1934Conservative	0.998	1.16	0.67
1935Conservative	0.998	1.17	0.65
1936Liberal	0.994	1.26	0.68
1937	0.997	1.19	0.67
1937Liberal	0.996	1.22	0.68
1941Liberal	0.998	1.23	0.65
1942Liberal	0.996	1.24	0.67
1943Liberal	0.997	1.24	0.66
1945Liberal	0.996	1.23	0.67
