USA	rsquare	a	b
1789	0.995	1.27	0.73
1796	0.998	1.19	0.60
1797	0.992	1.26	0.73
1798	0.989	1.29	0.73
1801	0.997	1.25	0.68
1803	0.996	1.25	0.68
1805	0.994	1.27	0.70
1805	0.996	1.28	0.68
1809	0.993	1.25	0.75
1812	0.992	1.32	0.70
1813	0.995	1.26	0.70
1815	0.993	1.23	0.73
1817	0.994	1.26	0.70
1821	0.994	1.26	0.69
1821	0.996	1.27	0.68
1825	0.993	1.27	0.71
1825	0.992	1.29	0.72
1827	0.994	1.24	0.69
1833	0.993	1.26	0.71
1837	0.991	1.29	0.72
1838	0.992	1.29	0.71
1839	0.993	1.24	0.74
1841	0.993	1.25	0.71
1842	0.993	1.23	0.73
1845	0.993	1.27	0.71
1848	0.993	1.30	0.68
1850	0.993	1.25	0.71
1851	0.993	1.23	0.71
1853	0.994	1.28	0.71
1854	0.988	1.30	0.73
1856	0.990	1.24	0.74
1857	0.995	1.28	0.68
1861	0.997	1.25	0.68
1861	0.996	1.22	0.70
1864	0.994	1.29	0.68
1865	0.992	1.30	0.68
1865	0.998	1.22	0.61
1868	0.992	1.32	0.69
1869	0.994	1.23	0.70
1873	0.995	1.21	0.71
1875	0.996	1.24	0.69
1876	0.994	1.27	0.71
1877	0.991	1.29	0.71
1877	0.992	1.27	0.72
1879	0.989	1.30	0.71
1881	0.995	1.27	0.68
1885	0.992	1.28	0.71
1889	0.995	1.28	0.68
1893	0.992	1.29	0.71
1893	0.991	1.31	0.71
1895	0.990	1.29	0.72
1897	0.992	1.27	0.70
1901	0.993	1.29	0.70
1905	0.998	1.21	0.66
1909	0.992	1.25	0.72
1913	0.998	1.20	0.65
1917	0.998	1.18	0.64
1921	0.993	1.29	0.71
1925	0.995	1.25	0.69
1929	0.993	1.29	0.72
1933	0.996	1.24	0.69
1937	0.996	1.26	0.68
1941	0.997	1.20	0.67
1945	0.999	1.16	0.66
1949	0.995	1.30	0.67
1953	0.997	1.23	0.64
1957	0.998	1.19	0.63
1961	0.998	1.22	0.62
1965	0.997	1.18	0.62
1969	0.998	1.16	0.64
1973	0.999	1.16	0.67
1977	0.998	1.20	0.65
1981	0.997	1.19	0.67
1985	0.998	1.22	0.64
1989	0.999	1.15	0.61
1993	0.997	1.23	0.64
1997	0.998	1.23	0.63
2001	0.995	1.22	0.66
2009	0.998	1.22	0.62
2013	0.998	1.25	0.63
2017	0.997	1.27	0.61
2021	0.998	1.17	0.62
